event_id;ticker;publication_timestamp;effective_trading_date;publication_session;prior_close;raw_return_1d;raw_return_5d;raw_return_20d;raw_return_60d;car_1d;car_5d;car_20d;car_60d;pre_event_car_5d;event_window_car;beta;historical_volatility;volume_zscore;bootstrap_pvalue_1d;bootstrap_pvalue_5d;bootstrap_pvalue_20d;outcome_label;calculated_at
EVT_6bcbcea94b71;SEQL3;2025-12-23 00:00:00;2025-12-23;PRE_MARKET;2.0999999;0.045112735315734565;-0.1541353669653447;-0.37218048740742715;-0.9060150407739271;0.3140029339712612;0.13578530731366933;-0.11440228626632704;-1.5651534020662825;-0.16770519731523778;0.34238771841145654;0.7287817904615708;0.7813643129076712;4.852628415547317;9.999000099990002e-05;0.18188181181881813;0.583941605839416;WEAK_SIGNAL;2026-07-22 11:23:30.301657
EVT_e8f88a820626;YDUQ3;2025-12-23 00:00:00;2025-12-23;PRE_MARKET;11.41804504;0.0015949581145471292;0.04412360610563604;0.15271247701130086;-0.046088666779499965;0.02987662767335955;0.07280733887764365;0.07058921931033588;-0.05102534204825651;-0.013791531453734233;0.0029653980281007537;1.4433343160959529;0.4441239717644538;-0.5940644576026836;0.193980601939806;0.19088091190880913;0.527947205279472;WEAK_SIGNAL;2026-07-22 11:23:30.308439
EVT_a477b68ed4e6;FIQE3;2025-12-29 00:00:00;2025-12-29;PRE_MARKET;4.63715315;0.07712771180906253;0.07061278090372114;0.15964961617813844;0.44847618266081013;0.065104461947985;0.0466960234726973;-0.023639395810499522;0.15149630639953496;-0.02015651889206136;0.07124537457041141;0.9312352603765713;0.23740253862420033;-0.012733050324227935;9.999000099990002e-05;0.101989801019898;0.6846315368463154;WEAK_SIGNAL;2026-07-22 11:23:30.291005
EVT_d8cd3d8fe9cc;FIQE3;2025-12-29 00:00:00;2025-12-29;PRE_MARKET;4.63715315;0.07712771180906253;0.07061278090372114;0.15964961617813844;0.44847618266081013;0.065104461947985;0.0466960234726973;-0.023639395810499522;0.15149630639953496;-0.02015651889206136;0.07124537457041141;0.9312352603765713;0.23740253862420033;-0.012733050324227935;9.999000099990002e-05;0.10308969103089691;0.6817318268173183;WEAK_SIGNAL;2026-07-22 11:23:30.294737
EVT_cb1e1c09b67b;FIQE3;2025-12-29 00:00:00;2025-12-29;PRE_MARKET;4.63715315;0.07712771180906253;0.07061278090372114;0.15964961617813844;0.44847618266081013;0.065104461947985;0.0466960234726973;-0.023639395810499522;0.15149630639953496;-0.02015651889206136;0.07124537457041141;0.9312352603765713;0.23740253862420033;-0.012733050324227935;9.999000099990002e-05;0.10178982101789821;0.6925307469253075;WEAK_SIGNAL;2026-07-22 11:23:30.285676
EVT_0f0c366ff185;PGMN3;2025-12-22 00:00:00;2025-12-22;PRE_MARKET;6.02116013;0.03050856718665984;0.11013850938853298;0.1421104682631551;0.11901965121185198;-0.05140549298347134;0.018623450983940044;-0.09426405724864648;-0.17697697853659958;0.011772488842097664;-0.051896140038774144;1.1477842196731969;0.33916661956836386;2.7165484248384373;0.0207979202079792;0.6474352564743525;0.26817318268173185;WEAK_SIGNAL;2026-07-22 11:23:30.318138
EVT_ab59e68ef916;ORVR3;2025-12-29 00:00:00;2025-12-29;PRE_MARKET;69.26999664;0.00749274680887746;0.01585012169667599;0.07074922077454882;-0.05360232187303238;0.006067454203240333;0.005378417591604475;-0.08871795620963371;-0.22833367499600546;-0.024605084913571718;0.009179589153371429;1.0163366588642693;0.22197833581243845;-0.6297376306897142;0.5013498650134987;0.8218178182181782;0.0801919808019198;WEAK_SIGNAL;2026-07-22 11:23:30.328579
EVT_03d8871df1f4;GUAR3;2025-12-23 00:00:00;2025-12-23;PRE_MARKET;7.9111495;0.06580476089916076;0.0;0.11515864868230397;0.12455929641559549;0.06913043466446149;-0.008607662208885578;-0.12104911471742952;-0.20867629798370807;0.09131411965248823;0.026999948082965478;2.191911056408952;0.47821733273776207;7.901058259228934;0.015598440155984402;0.8641135886411359;0.2636736326367363;WEAK_SIGNAL;2026-07-22 11:23:30.331817
EVT_c49de8fccc39;GUAR3;2025-12-23 00:00:00;2025-12-23;PRE_MARKET;7.9111495;0.06580476089916076;0.0;0.11515864868230397;0.12455929641559549;0.06913043466446149;-0.008607662208885578;-0.12104911471742952;-0.20867629798370807;0.09131411965248823;0.026999948082965478;2.191911056408952;0.47821733273776207;7.901058259228934;0.0124987501249875;0.8654134586541345;0.2712728727127287;WEAK_SIGNAL;2026-07-22 11:23:30.335003
EVT_293490ad4d1c;PGMN3;2025-12-18 09:30:00;2025-12-18;PRE_MARKET;5.86086512;0.004776938977015366;-0.0020916259574562668;0.06132063000204924;-0.0004229245812092941;0.015054393990342804;-0.010739590458593202;-0.053929787888400325;-0.2119408276316331;0.08106520302314692;0.038457900493208214;1.1181892114554437;0.3421899306816643;0.6375885683464005;0.3494650534946505;0.7986201379862014;0.5429457054294571;WEAK_SIGNAL;2026-07-22 11:23:30.321611
EVT_ae6a41078246;PGMN3;2025-12-18 09:30:00;2025-12-18;PRE_MARKET;5.86086512;0.004776938977015366;-0.0020916259574562668;0.06132063000204924;-0.0004229245812092941;0.015054393990342804;-0.010739590458593202;-0.053929787888400325;-0.2119408276316331;0.08106520302314692;0.038457900493208214;1.1181892114554437;0.3421899306816643;0.6375885683464005;0.35366463353664634;0.8011198880111989;0.5333466653334666;WEAK_SIGNAL;2026-07-22 11:23:30.325100
EVT_2cdf23b263bd;RDOR3;2025-12-23 00:00:00;2025-12-23;PRE_MARKET;40.04868317;-0.005279508886186557;-0.017278476784645447;0.05807542968865498;-0.053995678967849514;0.005436981005748718;-0.017879444072037967;-0.060194455525553935;-0.257829616444684;-0.04795477954628745;-0.018200828223883452;0.993739261372431;0.2362036478319411;0.060141836770442415;0.599040095990401;0.4714528547145285;0.27507249275072493;WEAK_SIGNAL;2026-07-22 11:23:30.314949
EVT_74d52453c11d;EQTL3;2025-12-22 00:00:00;2025-12-22;PRE_MARKET;38.57598114;0.022074547392971766;0.02215589152120634;0.09181196340956288;0.09875083599042878;-0.021946466017047465;-0.020366253361754606;-0.08772126085057891;-0.08562671824090279;-0.0063390724422711245;-0.021813850984970462;1.3105182282601027;0.19882726907502096;-0.3792534763714301;0.006399360063993601;0.1897810218978102;0.0071992800719928;WEAK_SIGNAL;2026-07-22 11:23:30.305257
EVT_f3bf674e3e8b;EQTL3;2025-12-22 00:00:00;2025-12-22;PRE_MARKET;38.57598114;0.022074547392971766;0.02215589152120634;0.09181196340956288;0.09875083599042878;-0.021946466017047465;-0.020366253361754606;-0.08772126085057891;-0.08562671824090279;-0.0063390724422711245;-0.021813850984970462;1.3105182282601027;0.19882726907502096;-0.3792534763714301;0.0072992700729927005;0.19638036196380362;0.007399260073992601;WEAK_SIGNAL;2026-07-22 11:23:30.311678
EVT_afe9fe479daf;SEQL3;2025-12-26 00:00:00;2025-12-26;PRE_MARKET;2.66000009;-0.046762543670099355;-0.215827304487345;-0.37050359032917546;-0.9100719414755964;0.014048756729640718;-0.15223962437215133;-0.29774922615461924;-1.75252456434804;0.15091353607382463;0.2811957536422877;0.507406054408996;0.79380769088168;5.643703801853079;0.5991400859914009;0.15448455154484553;0.17838216178382163;WEAK_SIGNAL;2026-07-22 11:23:30.298250
EVT_695e3beb4240;RECV3;2025-12-29 00:00:00;2025-12-29;PRE_MARKET;9.8106451;0.00711737281397995;-0.021352311049939177;0.12608178333306297;0.3320724437207494;0.021869708243213767;-0.00048805015940128847;0.0752692967062635;0.3651168423218439;0.04617020451457193;0.02313665128907691;0.7930518694859509;0.2853481445012994;-0.4416273254968028;0.1613838616138386;0.9882011798820118;0.32096790320967905;NOISE;2026-07-22 11:23:30.344897
EVT_0ccee303223f;LIGT3;2025-12-31 00:00:00;2026-01-02;NON_TRADING_DAY;4.73000002;-0.004237284086828441;0.010593261064530513;0.07838991026734754;0.023305113325015503;-0.01070523385813788;-0.0027917681007977122;-0.024615946349598496;-0.1048539253073935;0.04502347545073384;0.0006992709631906905;0.8836811054206125;0.588237491638092;-0.6973802802051359;0.7451254874512548;0.972002799720028;0.8818118188181182;NOISE;2026-07-22 11:23:30.338663
EVT_ee73ca3bc433;LIGT3;2025-12-31 00:00:00;2026-01-02;NON_TRADING_DAY;4.73000002;-0.004237284086828441;0.010593261064530513;0.07838991026734754;0.023305113325015503;-0.01070523385813788;-0.0027917681007977122;-0.024615946349598496;-0.1048539253073935;0.04502347545073384;0.0006992709631906905;0.8836811054206125;0.588237491638092;-0.6973802802051359;0.7466253374662534;0.9728027197280272;0.8791120887911209;NOISE;2026-07-22 11:23:30.341679
EVT_af3ff12e304c;ENBR3;2025-12-23 00:00:00;2025-12-23;UNKNOWN;;;;;;;;;;;;;;;;;;INSUFFICIENT_DATA;2026-07-22 11:23:29.244175
EVT_ba239752d9b2;ENBR3;2025-12-23 00:00:00;2025-12-23;UNKNOWN;;;;;;;;;;;;;;;;;;INSUFFICIENT_DATA;2026-07-22 11:23:29.304611
